datetime,PlotPoints,Message,Latitude,Longitude
6/20/2017 16:36,0-2573760,UNLIMITED-TRACK,32.63668,-117.23824
6/20/2017 16:35,0-2573891,UNLIMITED-TRACK,32.63391,-117.23924
6/20/2017 16:30,0-2573891,UNLIMITED-TRACK,32.62304,-117.24918
6/20/2017 16:30,0-2573760,UNLIMITED-TRACK,32.62242,-117.24989
6/20/2017 16:30,0-2572498,UNLIMITED-TRACK,32.62132,-117.25099
6/20/2017 16:26,0-2573760,UNLIMITED-TRACK,32.62248,-117.24982
6/20/2017 16:25,0-2573891,UNLIMITED-TRACK,32.61309,-117.26027
6/20/2017 16:25,0-2572498,UNLIMITED-TRACK,32.61119,-117.26223
6/20/2017 16:20,0-2572498,UNLIMITED-TRACK,32.60123,-117.27365
6/20/2017 16:10,0-2573891,UNLIMITED-TRACK,32.58308,-117.29469
6/20/2017 16:06,0-2573760,UNLIMITED-TRACK,32.5753,-117.30397
6/20/2017 16:05,0-2573891,UNLIMITED-TRACK,32.57347,-117.30602
6/20/2017 16:01,0-2573760,UNLIMITED-TRACK,32.56552,-117.31556
6/20/2017 16:00,0-2573891,UNLIMITED-TRACK,32.56369,-117.31789
6/20/2017 15:59,0-2574334,UNLIMITED-TRACK,32.56142,-117.32047
6/20/2017 15:57,0-2572498,UNLIMITED-TRACK,32.55894,-117.32248
6/20/2017 15:56,0-2573760,UNLIMITED-TRACK,32.55956,-117.3237
6/20/2017 15:55,0-2573891,UNLIMITED-TRACK,32.56148,-117.32628
6/20/2017 15:54,0-2574334,UNLIMITED-TRACK,32.5591,-117.32262
6/20/2017 15:53,0-2572498,UNLIMITED-TRACK,32.56609,-117.33075
6/20/2017 15:51,0-2573760,UNLIMITED-TRACK,32.57165,-117.3336
6/20/2017 15:49,0-2574334,UNLIMITED-TRACK,32.55933,-117.32306
6/20/2017 15:49,0-2573891,UNLIMITED-TRACK,32.57761,-117.33679
6/20/2017 15:46,0-2573760,UNLIMITED-TRACK,32.58501,-117.34121
6/20/2017 15:44,0-2574334,UNLIMITED-TRACK,32.55947,-117.32352
6/20/2017 15:44,0-2573891,UNLIMITED-TRACK,32.58958,-117.34323
6/20/2017 15:41,0-2573760,UNLIMITED-TRACK,32.58788,-117.33873
6/20/2017 15:39,0-2572498,UNLIMITED-TRACK,32.58709,-117.33832
6/20/2017 15:39,0-2574334,UNLIMITED-TRACK,32.55965,-117.32396
6/20/2017 15:39,0-2573891,UNLIMITED-TRACK,32.5846,-117.32915
6/20/2017 15:36,0-2573760,UNLIMITED-TRACK,32.58642,-117.33075
6/20/2017 15:34,0-2572498,UNLIMITED-TRACK,32.58309,-117.32724
6/20/2017 15:34,0-2574334,UNLIMITED-TRACK,32.55987,-117.32433
6/20/2017 15:34,0-2573891,UNLIMITED-TRACK,32.5737,-117.32829
6/20/2017 15:31,0-2573760,UNLIMITED-TRACK,32.57569,-117.32715
6/20/2017 15:30,0-2574334,UNLIMITED-TRACK,32.56009,-117.32471
6/20/2017 15:29,0-2572498,UNLIMITED-TRACK,32.57189,-117.32964
6/20/2017 15:26,0-2573760,UNLIMITED-TRACK,32.56769,-117.33817
6/20/2017 15:25,0-2573891,UNLIMITED-TRACK,32.56818,-117.34097
6/20/2017 15:24,0-2572498,UNLIMITED-TRACK,32.57019,-117.34203
6/20/2017 15:24,0-2574334,UNLIMITED-TRACK,32.56039,-117.32515
6/20/2017 15:22,0-2573760,UNLIMITED-TRACK,32.57557,-117.34142
6/20/2017 15:20,0-2573891,UNLIMITED-TRACK,32.57816,-117.33696
6/20/2017 15:19,0-2572498,UNLIMITED-TRACK,32.57836,-117.33736
6/20/2017 15:19,0-2574334,UNLIMITED-TRACK,32.56074,-117.32553
6/20/2017 15:15,0-2573891,UNLIMITED-TRACK,32.58809,-117.33704
6/20/2017 15:14,0-2572498,UNLIMITED-TRACK,32.58844,-117.3369
6/20/2017 15:14,0-2574334,UNLIMITED-TRACK,32.56091,-117.32605
6/20/2017 15:12,0-2573760,UNLIMITED-TRACK,32.57561,-117.34159
6/20/2017 15:10,0-2573891,UNLIMITED-TRACK,32.58871,-117.33731
6/20/2017 15:09,0-2572498,UNLIMITED-TRACK,32.58812,-117.33948
